round_epochs,val_loss,val_acc,val_f1score,loss,acc,f1score,activation1,activation2,batch_size,dropout,epochs,kernel_initializer,layer1_units,layer2_units,losses,lr,optimizer,use_bias
120,0.39965313267707825,0.8432000279426575,0.5218064188957214,0.2532813910245895,0.90293336,0.7275478,relu,sigmoid,60,0.275,120,normal,60,25,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
115,0.44412105351686476,0.8432000279426575,0.5019444823265076,0.22780999591946602,0.90746665,0.73488843,relu,sigmoid,45,0.3125,115,normal,60,40,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
130,0.416935577750206,0.8432000279426575,0.5480971336364746,0.2242931487560272,0.9128,0.76412386,relu,sigmoid,60,0.2375,130,normal,60,40,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
105,0.42653360027074816,0.8312000036239624,0.5067490339279175,0.21248281440138816,0.9152,0.7695933,relu,sigmoid,45,0.2375,105,normal,70,40,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
115,0.4280639231204987,0.8464000225067139,0.5551385283470154,0.23270040500164033,0.9112,0.75557244,relu,sigmoid,60,0.2,115,normal,65,25,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
120,0.35984090518951417,0.8592000007629395,0.4982501268386841,0.27269121817747755,0.88666666,0.65095305,relu,sigmoid,40,0.3125,120,normal,60,10,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
130,0.4378372496366501,0.8416000008583069,0.5194289088249207,0.21979788422584534,0.9168,0.7750314,relu,sigmoid,50,0.2,130,normal,60,35,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
120,0.4286659830212593,0.8464000225067139,0.5115795731544495,0.22371131395300228,0.90933335,0.7590705,relu,sigmoid,55,0.3125,120,normal,60,35,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,True
100,0.42284118542075155,0.848800003528595,0.5392817854881287,0.24537238557140031,0.90506667,0.73949534,relu,sigmoid,55,0.3125,100,normal,65,40,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
115,0.3708271065354347,0.8471999764442444,0.4937244951725006,0.26732623091340063,0.88266665,0.65865874,relu,sigmoid,55,0.2,115,normal,60,20,binary_crossentropy,1,<class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,False
